Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Austria,AUT,76.4814529378497,76.8427329344795,77.3255598635004,78.5293253474267,77.9507153517801,76.9980056028859,74.6979082356985,72.701759061148,71.5931889846242,69.6794666008072,70.1200991431839,69.0866915769087,66.5897384452544,66.1158376874701,64.6587494125741,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Belgium,BEL,76.0927559926524,75.8858424746036,74.8462800086377,75.5797597930546,75.3554168236115,75.0225047339011,74.1178464545566,72.8999654063773,73.6930299595298,73.0949896392612,73.4950691844096,70.9031506919033,71.3533558990073,71.0702666949352,72.7410495719673,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Bulgaria,BGR,72.3850411748848,73.1454631425634,70.4665561092248,74.0906022391055,73.9769293902061,72.9612547766738,72.4792439088174,77.7206583262712,76.1421363788758,73.0238178824845,73.1607782360012,75.0390918967722,72.1871003864391,70.1868946970193,..,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Cyprus,CYP,97.8604881007199,97.8273938327575,97.7756552510606,97.8101748386258,97.5007966536882,97.4315706565891,97.5068932877896,96.7166461124675,96.1058446007409,95.7814844337477,95.3906538183929,94.8940948336657,94.165524866543,92.9908098356461,..,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Croatia,HRV,84.2890117879746,85.7631209639248,87.092567673617,87.0821946831633,85.3149885954972,84.8806969100828,84.6552244397684,86.5956455890804,85.007220927579,83.4429015717979,81.9296190717176,81.5954707102398,79.1799372961572,78.4621907533972,..,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Czech Republic,CZE,89.962835459286,89.0209378258251,86.8719392271477,84.2496042476403,83.6902433837101,83.6751207215882,82.9781730781546,83.0622773413802,81.3704925755621,79.6262372532853,79.627861275562,78.5820910449056,76.7275195571086,75.1943278584164,75.2818909598989,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Denmark,DNK,88.2800504024992,88.2707013007272,87.9899084650889,89.6796771920172,85.4747882362454,82.1873030525818,86.6366222223976,82.0366135499006,80.1313683361241,79.5758042575441,78.2742257090851,74.8222782100362,70.6877515042193,72.0361679200293,68.1347254283161,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Estonia,EST,28.6516233078236,31.874953468513,29.5870558288905,28.3068900453646,29.2458584875322,30.2847036757074,31.4113867223418,28.5986648091688,28.0720192126046,23.2880943203542,20.5748577715591,18.8779781157611,19.5597493844909,17.1986297458196,14.8137140883868,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Finland,FIN,49.6354308631635,50.2030731527157,51.2778868567218,54.3368737275465,53.2826098317451,49.0902146497726,51.5612013552011,49.8205638135848,47.8657645835379,48.5678111259414,48.8773824574143,47.0749732347056,43.0698326321547,42.2785424411101,42.5853883037969,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,France,FRA,52.8037762017612,53.3989558114169,52.8117969787701,52.6923983367413,52.4133752404614,52.2562979939824,51.8010098744538,51.6255614185582,50.8014888634312,50.7986797756404,49.7650830130077,48.4275856623394,48.7460835344811,48.3515270585841,46.2747297799557,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Germany,DEU,83.6219751354806,83.6050330188045,83.2781567929544,83.1823140879026,82.5656908714706,81.8534208832059,81.2691048683887,81.2720287272774,80.8023144331889,79.9681267313374,79.5609972258192,80.3702087567313,80.6252229786616,81.1003353312107,80.023912165706,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Greece,GRC,94.5911932503073,94.387342657927,94.0716597172761,93.9892259195107,93.789096583991,93.4167107926867,92.8922952146868,93.0204336404671,92.7666056228394,92.3568747989794,90.3663483724037,90.8301853797714,90.1189593737118,88.0060792520631,85.6760213500163,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Hungary,HUN,80.5389134842981,80.9818366746925,80.791825677513,83.1371684473415,81.8208390734872,80.3682312893685,80.0627060841501,78.9741179766459,77.8232198427364,74.1960471566905,74.2662531462368,73.3366030578705,71.6028989069519,69.0278389171082,67.8356259280254,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Ireland,IRL,92.5157191050349,92.5215919069171,91.4591391780774,92.0022630739466,93.2769299330177,90.915524156573,90.9729911504884,90.9937710463926,89.9243442673944,88.8264184659957,89.6709089565992,87.9021121944544,86.4835977485255,86.2852084906195,85.1705303950539,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Italy,ITA,91.7300953931907,91.3932551096585,91.5246260178411,91.3416108289268,90.8776904362861,91.0668740197245,90.6239203494825,90.6944955462608,89.9541914273926,87.5490726215452,86.4833845984771,84.9995344015926,82.2013821135475,79.9643666959332,78.8811772374689,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Latvia,LVA,63.3882903137833,63.6710626741171,63.4126031378961,63.6340489300738,62.9870675602083,63.1815667225766,64.8080120026488,65.129696876696,65.0876798208202,61.1260633910045,65.8499964166208,62.8938992715436,58.0418935861062,58.982719569753,..,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Lithuania,LTU,58.6737698267062,57.4437163767391,53.4532136853906,52.1590590386662,53.3631103036763,59.8802110943199,61.1454661770683,60.970620197516,60.2506773202724,55.3710044945692,74.2975094170234,73.8759517274449,72.8931944548374,70.0223364446159,..,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Luxembourg,LUX,83.4434126190809,84.9834081781113,89.8491672731008,89.7010316967833,91.2583382980594,91.1689927259868,90.3341298418926,88.0854839793523,87.1163833581093,88.7050358076445,87.9579314313591,87.0091372367121,87.218173117402,84.5273190958,83.6848249253118,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Malta,MLT,..,..,99.9674076094368,99.9623332550123,99.9510403326363,99.9403964487637,99.9224662920404,99.9101608326312,99.891462471476,99.8802715215794,99.347634247318,99.0966031839572,98.7043738551579,98.2556785764376,..,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Netherlands,NLD,93.856970047912,94.1112122441004,94.0035685200886,94.0646341897848,93.9126374671289,92.9719800055292,92.532949835656,92.7659706391696,92.4406522894924,93.0597026161189,93.8350968071438,92.3206659361961,91.5042456278325,91.6810669392204,91.0537055738119,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Poland,POL,96.2198417670529,95.9808999446962,95.8700304377141,96.2477586646671,95.9922094677164,96.0067293143245,95.834292339468,95.2276436167446,94.1266461400808,93.1591641142566,92.451207569259,92.1183798905688,90.9785187086931,91.145501727737,89.837701034637,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Portugal,PRT,84.0361685337448,83.3853754008383,85.2567327492204,81.7734636585717,82.7560909971743,84.1221274218628,80.8164495069197,79.2409673263377,78.6369390725392,78.088153732586,75.1272715636337,75.6590375736355,75.1134287486659,73.6923167406019,74.2587381488152,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Romania,ROM,84.8166027159963,86.5352964008196,86.7447472126657,86.8626792858195,84.4800892610131,83.8666846203507,85.0588612884279,83.179481360426,79.8431627738385,76.5949357642075,75.070951491373,77.6518382039965,76.4272009246288,73.4295361610316,..,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Slovak Republic,SVK,72.5158524953125,73.0781842934813,72.4412542108082,72.1810399144335,72.216145118193,72.1077908359414,70.8919626902223,70.9291378680345,70.3379735039533,70.0284387242571,70.2377733867821,68.5113631680676,66.8328684868671,66.9235742584742,62.790594104944,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Slovenia,SVN,70.1382135081145,70.3938071478691,69.8624661685046,69.7464407862481,69.2959299153542,68.5714199530726,69.4715759029775,69.2377934879934,69.4391906046828,67.9377430358101,67.4106722931773,65.3428486233426,65.3901912859373,64.3098857449367,59.5930248930983,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Spain,ESP,80.6349426879774,79.8499960208187,81.4607128746587,80.8230230186446,81.8320256341566,83.4668123985147,82.5095887666763,83.1862164777901,81.8083158189895,79.7102129168535,76.00086331065,76.5000886869636,75.0081563640562,72.7921958551526,72.2391265359029,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Sweden,SWE,34.8291833726584,33.9878881209022,37.4462496216707,36.5218103202111,34.8320103545523,33.8115091740615,33.4125841867698,32.4524719515326,33.1126400594178,31.9839953356471,34.4232514038991,34.2141870452598,30.9991557787887,29.8114932231092,30.7543666017151,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,United Kingdom,GBR,88.410363733096,87.8290691737866,87.7237002687167,87.9800587732831,88.560907184021,88.0765913454462,88.5499403945891,89.5743535912373,90.1004695145823,87.2851435085258,88.3407153278657,85.6985625507848,85.2586974411355,84.0356106380179,82.7891658955891,..,..
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/14/2016,,,,,,,,,,,,,,,,,,,,
